"","neighbourhood_group","neighbourhood","turnover_mean","review_mean","count"
"198","Staten Island","Lighthouse Hill",29078,2.66666666666667,3
"199","Staten Island","Mariners Harbor",122553.6,3.1,20
"200","Staten Island","Midland Beach",90132.9285714286,3.42857142857143,14
"201","Staten Island","New Brighton",152576.357142857,3.21428571428571,14
"202","Staten Island","New Dorp",287152,4,1
"203","Staten Island","New Dorp Beach",108442.666666667,3.83333333333333,6
"204","Staten Island","New Springville",140638.384615385,3.38461538461538,13
"205","Staten Island","Oakwood",111701.714285714,3.85714285714286,14
"206","Staten Island","Port Richmond",80999.7333333333,3.86666666666667,15
"207","Staten Island","Prince's Bay",102323.4,3.4,5
"208","Staten Island","Randall Manor",61395.7837837838,4.05405405405405,37
"209","Staten Island","Richmondtown",132848.25,2.75,4
"210","Staten Island","Rosebank",102336.571428571,3.92857142857143,14
"211","Staten Island","Rossville",63852,3,3
"212","Staten Island","Shore Acres",198395.666666667,3.83333333333333,12
"213","Staten Island","Silver Lake",156428.375,4.125,8
"214","Staten Island","South Beach",61348,3.53846153846154,13
"215","Staten Island","St. George",127209.178217822,3.31683168316832,101
"216","Staten Island","Stapleton",109043.79245283,3.66037735849057,53
"217","Staten Island","Todt Hill",197779,4,7
"218","Staten Island","Tompkinsville",110351.52688172,3.34408602150538,93
"219","Staten Island","Tottenville",89400.9,2.6,10
"220","Staten Island","West Brighton",59651.3076923077,2.98076923076923,52
"221","Staten Island","Westerleigh",137409.5,4,4
"222","Staten Island","Willowbrook",7480,2,3
"223","Staten Island","Woodrow",4758,2,1
